date;day;description;transferred
2017-06-18;Sunday;Father's Day;Observance
2017-06-21;Wednesday;June Solstice;Season
2017-06-23;Friday;Jamat Ul-Vida;Restricted Holiday
2017-06-25;Sunday;Rath Yatra;Restricted Holiday
2017-06-26;Monday;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
2017-08-06;Sunday;Friendship Day;Observance
2017-08-07;Monday;Raksha Bandhan (Rakhi);Restricted Holiday
2017-08-15;Tuesday;Independence Day;Gazetted Holiday
2017-08-15;Tuesday;Janmashtami;Gazetted Holiday
2017-08-17;Thursday;Parsi New Year;Restricted Holiday
2017-08-25;Friday;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
2017-09-02;Saturday;Bakr Id/Eid ul-Adha;Gazetted Holiday
2017-09-04;Monday;Onam;Restricted Holiday
2017-09-23;Saturday;September Equinox;Season
2017-09-27;Wednesday;Maha Saptami;Restricted Holiday
2017-09-28;Thursday;Maha Ashtami;Restricted Holiday
2017-09-29;Friday;Maha Navami;Restricted Holiday
2017-09-30;Saturday;Dussehra;Gazetted Holiday
2017-10-01;Sunday;Muharram/Ashura;Gazetted Holiday
2017-10-02;Monday;Mahatma Gandhi Jayanti;Gazetted Holiday
2017-10-05;Thursday;Maharishi Valmiki Jayanti;Restricted Holiday
2017-10-08;Sunday;Karaka Chaturthi (Karva Chauth);Restricted Holiday
2017-10-18;Wednesday;Naraka Chaturdasi;Restricted Holiday
2017-10-19;Thursday;Diwali/Deepavali;Gazetted Holiday
2017-10-20;Friday;Govardhan Puja;Restricted Holiday
2017-10-21;Saturday;Bhai Duj;Restricted Holiday
2017-10-26;Thursday;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
2017-10-31;Tuesday;Halloween;Observance
2017-11-04;Saturday;Guru Nanak Jayanti;Gazetted Holiday
2017-11-24;Friday;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
2017-12-02;Saturday;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
2017-12-13;Wednesday;First Day of Hanukkah;Observance
2017-12-20;Wednesday;Last day of Hanukkah;Observance
2017-12-21;Thursday;December Solstice;Season
2017-12-24;Sunday;Christmas Eve;Restricted Holiday
2017-12-25;Monday;Christmas;Gazetted Holiday
2017-12-25;Monday;Guru Govind Singh Jayanti;Observance
2017-12-31;Sunday;New Year's Eve;Observance
